id,name,light,number,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count,geometry_type,geometry_coordinates
1,Puerta del Sol A,2,1a,Puerta del Sol nº 1,1,0,30,15,11,0,Point,"[-3.7018341, 40.4172137]"
2,Puerta del Sol B,1,1b,Puerta del Sol nº 1,1,0,30,22,4,0,Point,"[-3.701602938060457, 40.41731271011562]"
3,Miguel Moya,2,2,Calle Miguel Moya nº 1,1,0,24,12,11,0,Point,"[-3.7058415, 40.4205886]"
4,Plaza Conde Suchil,0,3,Plaza del Conde del Valle de Súchil nº 3,1,0,18,4,11,0,Point,"[-3.7069171, 40.4302937]"
5,Malasaña,2,4,Calle Manuela Malasaña nº 5,1,0,24,12,12,0,Point,"[-3.7025875, 40.4285524]"
6,Fuencarral,2,5,Calle Fuencarral nº 108,1,0,27,15,10,0,Point,"[-3.70205, 40.42852]"
7,Colegio Arquitectos,1,6,Calle Hortaleza nº 63,1,0,24,20,1,0,Point,"[-3.698447, 40.424148]"
8,Hortaleza,2,7,Calle Hortaleza nº 75,1,0,21,10,11,0,Point,"[-3.6977715, 40.4251906]"
9,Alonso Martínez,2,8,Plaza de Alonso Martínez nº 5,1,0,24,8,14,0,Point,"[-3.6954403, 40.4278682]"
10,Plaza de San Miguel,2,9,Plaza de San Miguel nº 9,1,0,24,15,7,0,Point,"[-3.7095084, 40.4156057]"
11,Marqués de la Ensenada,0,10,Calle Marqués de la Ensenada nº 16,1,0,24,0,22,0,Point,"[-3.69214, 40.42533]"
12,San Andrés,2,11,Calle San Andrés nº 18,1,0,24,13,10,0,Point,"[-3.7035918, 40.4269483]"
13,San Hermenegildo,2,12,Calle San Bernardo nº 85,1,0,24,11,13,0,Point,"[-3.7061931, 40.4284246]"
14,Conde Duque,0,13,Calle Conde Duque nº 22,1,0,24,6,16,0,Point,"[-3.7104417, 40.4273264]"
15,Ventura Rodríguez,2,14,Calle Duque de Liria,1,0,24,10,13,0,Point,"[-3.713479, 40.4260957]"
16,San Vicente Ferrer,2,15,Calle San Vicente Ferrer nº 64,1,0,21,7,13,0,Point,"[-3.7074453, 40.4262383]"
17,San Bernardo,2,16,Calle San Bernardo nº 22,1,0,21,14,7,0,Point,"[-3.7075065, 40.4230721]"
18,Carlos Cambronero,0,17,Plaza de Carlos Cambronero nº 2,1,0,24,5,18,0,Point,"[-3.7038312, 40.4232649]"
19,Plaza de Pedro Zerolo,1,18,Plaza de Pedro Zerolo nº 1,1,0,24,15,3,0,Point,"[-3.6996502, 40.4207773]"
20,Prim,3,19,Calle Prim nº 2,1,1,24,0,0,0,Point,"[-3.6954983, 40.4218616]"
21,Banco de España A,3,20a,Calle Alcalá nº 49,1,1,30,0,0,0,Point,"[-3.6954615, 40.4192342]"
25,Jacometrezo,1,22,Calle Jacometrezo nº 3,1,0,24,21,3,0,Point,"[-3.7065376, 40.4200783]"
26,Santo Domingo,1,23,Plaza de Santo Domingo nº 1,1,0,24,17,7,0,Point,"[-3.7081246, 40.4202834]"
27,Palacio de Oriente,2,24,Calle Carlos III nº 1,1,0,24,9,11,0,Point,"[-3.710692, 40.417908]"
28,Plaza de Celenque A,0,25a,Plaza de Celenque nº 1,1,0,24,1,22,0,Point,"[-3.7057791, 40.4173703]"
29,Plaza de Celenque B,0,25b,Plaza de Celenque nº 1,1,0,24,6,18,0,Point,"[-3.7063837, 40.4172781]"
30,Plaza de las Salesas,0,26,Plaza de las Salesas 7,1,0,24,1,20,0,Point,"[-3.694475, 40.423855]"
31,Huertas,2,27,Calle Jesús nº 1,1,0,24,10,12,0,Point,"[-3.6956178, 40.4132798]"
32,Sevilla,1,28,Calle Alcalá nº 27,1,0,24,17,2,0,Point,"[-3.6984368, 40.4181518]"
33,Marqués de Cubas,2,29,Calle del Marqués de Cubas nº 25,1,0,24,8,14,0,Point,"[-3.6957355, 40.4162619]"
34,San Quintín,0,30,Calle Pavía nº 6,1,0,27,6,19,0,Point,"[-3.711504, 40.4192095]"
35,Calle Mayor,2,31,Calle Mayor nº 20,1,0,27,15,9,0,Point,"[-3.7068969, 40.4163638]"
36,Plaza de la Provincia,2,32,Plaza de la Provincia nº 1,1,0,18,12,6,0,Point,"[-3.7061032, 40.4150099]"
37,Carretas,3,33,Calle Carretas nº 8,1,1,21,0,0,0,Point,"[-3.7030833, 40.4165039]"
38,Jacinto Benavente,1,34,Plaza de Jacinto Benavente,1,0,24,19,3,0,Point,"[-3.7036825, 40.4146755]"
39,Plaza del Cordón,1,35,Plaza del Cordón,1,0,24,18,6,0,Point,"[-3.7103285, 40.4141931]"
40,Plaza Ramales,2,36,Plaza de Ramales,1,0,24,8,16,0,Point,"[-3.71183, 40.4168]"
41,Plaza de San Francisco,2,37,Plaza de San Francisco nº 5,1,0,24,13,10,0,Point,"[-3.714113, 40.4108]"
42,Plaza de los Carros,1,38,Carrera de San Francisco nº 1,1,0,24,20,3,0,Point,"[-3.7114762, 40.4114041]"
43,Plaza de la Cebada,1,39,"Plaza de la Cebada nº 16 ",1,0,27,25,1,0,Point,"[-3.7088337, 40.4112744]"
44,Conde de Romanones,1,40,Plaza del Conde de Romanones nº 9,1,0,24,23,1,0,Point,"[-3.7049407, 40.4138846]"
45,Antón Martín,1,41,Calle Atocha nº 54,1,0,18,13,2,0,Point,"[-3.6991147, 40.4122047]"
46,Santa Isabel,1,42,Calle Atocha nº 95,1,0,24,20,3,0,Point,"[-3.6982318, 40.4107085]"
47,Jesús y María,2,43,Calle Lavapiés nº 34,1,0,24,13,10,0,Point,"[-3.7025024, 40.4101564]"
48,Plaza de Nelson Mandela,2,44,Calle Mesón de Paredes nº 35,1,0,21,8,11,0,Point,"[-3.7040666, 40.4097617]"
49,Puerta de Toledo,2,45,Glorieta de la Puerta de Toledo nº 1,1,0,21,8,12,0,Point,"[-3.7110513, 40.4070358]"
50,Ribera de Curtidores,2,46,Calle Ribera de Curtidores nº 28,1,0,24,12,11,0,Point,"[-3.7071259, 40.4053153]"
51,Embajadores 1,0,47,Glorieta de Embajadores nº 6,1,0,24,3,15,0,Point,"[-3.7028265, 40.4047851]"
52,Embajadores 2,0,48,Glorieta de Embajadores nº 2,1,0,24,3,21,0,Point,"[-3.7022591, 40.4056107]"
53,Casa Encendida,2,49,Ronda de Atocha nº 34,1,0,24,12,12,0,Point,"[-3.6992759, 40.4060941]"
54,Museo Reina Sofía,2,50,Calle Santa Isabel nº 57,1,0,24,16,8,0,Point,"[-3.6933463, 40.4083684]"
55,Ronda de Atocha,1,51,Ronda de Atocha nº 2,1,0,27,21,3,0,Point,"[-3.6935205, 40.4075606]"
56,Plaza de Santa Ana,1,52,Plaza de Santa Ana nº 10,1,0,24,22,2,0,Point,"[-3.7007164, 40.4144226]"
57,Plaza de Lavapiés,1,53,Calle Valencia nº 1,1,0,24,20,2,0,Point,"[-3.7007111, 40.4083061]"
58,Barceló,1,54,Calle Barceló nº 7,1,0,21,18,2,0,Point,"[-3.700423, 40.4266828]"
59,Plaza de San Ildefonso,2,55,Plaza de San Ildefonso,1,0,24,8,14,0,Point,"[-3.7020842, 40.4239757]"
60,"Plaza del Carmen ",2,56,Plaza del Carmen nº 1,1,0,24,7,13,0,Point,"[-3.7032414, 40.4184192]"
61,Santa Cruz del Marcenado,0,57,Calle Santa Cruz del Marcenado nº 24,1,0,24,5,18,0,Point,"[-3.7126299, 40.4295658]"
62,Augusto Figueroa,1,58,Calle Augusto Figueroa nº 33,1,0,24,19,2,0,Point,"[-3.697895, 40.4222862]"
63,Plaza de Juan Pujol,0,59,Calle Espíritu Santo nº 30,1,0,21,2,17,0,Point,"[-3.7043418, 40.4255495]"
64,Plaza de la Independencia,1,60,Plaza de la Independencia nº 6,1,0,24,19,1,0,Point,"[-3.688398, 40.419752]"
65,Narváez,1,61,Calle O'Donnell nº 28,1,0,24,17,7,0,Point,"[-3.6752045, 40.4213983]"
66,O'Donnell,0,62,Calle O'Donnell nº 50,1,0,24,7,16,0,Point,"[-3.6724968, 40.4213148]"
67,Ibiza,2,63,Calle Ibiza nº 62,1,0,24,9,13,0,Point,"[-3.6708959, 40.4179237]"
69,Antonio Maura,2,65,Calle Antonio Maura nº 15,1,0,24,9,14,0,Point,"[-3.6894193, 40.4166834]"
71,Almadén,1,67,Calle Almadén nº 28,1,0,24,15,5,0,Point,"[-3.693225, 40.4108472]"
72,Espalter,2,68,Calle Espalter nº 1,1,0,21,7,10,0,Point,"[-3.6912023, 40.4128372]"
73,Puerta del Ángel Caído,1,69,Avenida de Alfonso XII nº 54,1,0,27,16,6,0,Point,"[-3.688822, 40.409808]"
74,Puerta del Doce de Octubre,2,70,Avenida de Menéndez Pelayo nº 63,1,0,24,9,14,0,Point,"[-3.6779232, 40.4153053]"
75,Doce de Octubre,2,71,Calle Doce de Octubre nº 28,1,0,24,16,7,0,Point,"[-3.6738865, 40.4159569]"
76,Sainz de Baranda,2,72,Calle Doctor Esquerdo nº 99,1,0,24,11,12,0,Point,"[-3.6691838, 40.4157413]"
77,Plaza de los Astros,2,73,Avenida de Nazaret nº 7,1,0,24,11,12,0,Point,"[-3.6689089, 40.4114475]"
78,"Puerta del Pacífico ",1,74,Avenida de Menéndez Pelayo nº 73,1,0,24,21,1,0,Point,"[-3.6766813, 40.4117627]"
79,Menéndez Pelayo,0,75,Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,1,0,24,3,19,0,Point,"[-3.6784838, 40.4082805]"
80,Puerta de Mariano de Cavia,2,76,Avenida del Mediterráneo nº 19,1,0,24,8,15,0,Point,"[-3.6751352, 40.4071304]"
81,Conde de Casal,0,77,Plaza del Conde de Casal nº 8,1,0,22,5,15,0,Point,"[-3.670422, 40.40635]"
82,Pedro Bosch,0,78,Calle Cerro de la Plata nº 2,1,0,24,5,17,0,Point,"[-3.6744, 40.400789]"
83,Puerta de Granada,1,79,Avenida de Menéndez Pelayo nº 38,1,0,24,19,3,0,Point,"[-3.6803874, 40.4051451]"
84,Atocha A,2,80a,Paseo de la Infanta Isabel nº 3,1,0,24,10,12,0,Point,"[-3.6902255, 40.4075685]"
85,Atocha B,1,80b,Paseo de la Infanta Isabel nº 3,1,0,27,21,6,0,Point,"[-3.6901234, 40.4074902]"
86,Cuesta de Moyano,1,81,Cuesta de Claudio Moyano,1,0,24,21,0,0,Point,"[-3.691987, 40.409297]"
87,Niño Jesús,2,82,Calle Doctor Esquerdo nº 161,1,0,24,9,14,0,Point,"[-3.6697526, 40.4084556]"
88,Pío Baroja,1,83,Calle Pío Baroja nº 10,1,0,24,20,4,0,Point,"[-3.6745323, 40.4132995]"
89,Valderribas,2,84,Calle Doctor Esquerdo nº 191,1,0,24,10,14,0,Point,"[-3.6726019, 40.4032501]"
90,Puerta de Madrid,2,85,Avenida de Menéndez Pelayo esquina calle O'Donnell,1,0,27,10,16,0,Point,"[-3.680008, 40.421501]"
91,Cibeles,2,86,Plaza Cibeles,1,0,21,6,9,0,Point,"[-3.6933498, 40.4186516]"
92,Ayala,1,87,Calle Ayala nº 44,1,0,24,19,4,0,Point,"[-3.6832566, 40.427736]"
93,Embajada de Italia,2,88,Calle Velázquez nº 75,1,0,24,9,10,0,Point,"[-3.6838303, 40.4313576]"
94,Conde Peñalver,1,89,Calle Ayala nº 102,1,0,24,19,4,0,Point,"[-3.6752024, 40.4272582]"
95,General Pardiñas,2,90,Calle Goya nº 18,1,0,30,11,14,0,Point,"[-3.6837876, 40.4250361]"
96,Príncipe de Vergara,2,91,Calle Hermosilla nº 70,1,0,24,13,10,0,Point,"[-3.6787441, 40.426134]"
97,Claudio Coello,0,92,Calle Claudio Coello nº 45,1,0,24,5,16,0,Point,"[-3.6865463, 40.4262945]"
98,Plaza de Colón,0,93,Calle Goya nº 1,1,0,24,4,17,0,Point,"[-3.6893698, 40.4257046]"
99,Biblioteca Nacional,0,94,Paseo de Recoletos nº 20,1,0,21,2,18,0,Point,"[-3.690756, 40.4232153]"
100,Villanueva,2,95,Calle Claudio Coello nº 109,1,0,24,10,13,0,Point,"[-3.6870548, 40.4226584]"
101,Castelló,2,96,Calle Alcalá nº 111,1,0,27,16,10,0,Point,"[-3.6821793, 40.422064]"
102,Alcalá,2,97,Avenida de Menéndez Pelayo nº 3,1,0,27,9,16,0,Point,"[-3.6805189, 40.4222969]"
103,Plaza de Felipe II,2,98,Plaza de Felipe II,1,0,24,8,13,0,Point,"[-3.6758383, 40.4239447]"
104,Alcántara,1,99,Calle Alcántara nº 2,1,0,24,18,5,0,Point,"[-3.6738714, 40.4261851]"
105,Palacio de Deportes,2,100,Calle Goya nº 99,1,0,24,9,13,0,Point,"[-3.67384, 40.42478]"
106,Jorge Juan,2,101,Calle Jorge Juan nº 131,1,0,24,8,16,0,Point,"[-3.6691524, 40.4231526]"
107,Velázquez,1,102,Calle Alcalá nº 95,1,0,24,22,2,0,Point,"[-3.6840229, 40.4211802]"
108,Ortega y Gasset,0,103,Calle José Ortega y Gasset nº 4,1,0,24,5,18,0,Point,"[-3.68653, 40.43037]"
