,Place of interest,Type of place,Place address,Place distrit,Place neighborhood,Place description,Place transport,Place latitude,Place longitude,mercator place,BiciMAD station,Station location,Station latitude,Station longitude,Station base availability,Station Bikes Availability,mercator station,Distance Between BiciMAD station and Place of interest
0,Jardines Gregorio Ordóñez,Principales parques y jardines municipales,PRINCIPE DE VERGARA,SALAMANCA,LISTA,"Jardines en memoria de Gregorio Ordóñez. Este cuidado jardín presenta dos amplias zonas infantiles, para diversión de los pequeños y posee un pequeño estanque en el centro del mismo rodeado de distintas especies de palmeras.","Metro: Núñez de Balboa (líneas 5 y 9) Bus: 1, 29, 52, 74  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43346186779773,-3.6785954778654113,POINT (4501032.386132487 -409780.9987743839),Diego de León 52,Calle Diego de León nº 52,40.4345973,-3.678492,disponible,13,POINT (4501158.781867075 -409769.4558894613),126.92170781350367
1,Jardines San Francisco el Grande,Principales parques y jardines municipales,GRAN VIA DE SAN FRANCISCO,CENTRO,PALACIO,"Este jardín se encuentra en el solar de 4.200 metros cuadrados donde estuvo el antiguo convento de San Francisco, demolido a mediados del siglo XX por encontrarse en ruinas. Hasta 2007 no tuvo ningún uso y fue en ese año cuando el Ayuntamiento de Madrid convirtió el espacio en un jardín temático de dalias, la antigua Dalieda de San Francisco. Posteriormente, en 2016,  se modificó  la composición de las plantaciones y se apostó por los rosales debido a su gran capacidad de adaptación al clima madrileño y a su mayor floración. En la actualidad los Jardines de San Francisco el Grande cuenta con 21 variedades de rosales que alcanzan su máxima esplendor en los meses de mayo y junio. El parque encuentra en una zona denominada &amp;ldquo;Las Vistillas&amp;rdquo; por ser la más alta del Madrid de los Austrias y su mirador se ha convertido en uno de los lugares más transitados para ver puestas de sol en la ciudad. Antecede al mirador el grupo escultórico San Isidro Labrador, obra en la que se representa al patrón de Madrid recostado y a un ángel que posa una mano sobre su cabeza para inducirle a dormir. Esta fue una de las esculturas que realizó Santiago Costa en 1952 para homenajear al arquitecto Juan de Villanueva. Su emplazamiento original fue la fuente de la glorieta de San Vicente, donde estuvo hasta 1995.","Bus: 3, 60 y 148.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.40714274084601,-3.7121666160537057,POINT (4498102.554322098 -413525.9071853098),Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,40.4070358,-3.7110513,disponible,8,POINT (4498090.649721576 -413401.4898074972),124.98561283344543
2,Jardines de Andrés Saborit,Principales parques y jardines municipales,RAIMUNDO FERNANDEZ VILLAVERDE,CHAMBERI,RIOS ROSAS,"Jardines situados en la calle Raimundo Fernández Villaverde, entre las calles Alenza y Alonso Cano. Esta gran zona verde está dotada de áreas infantiles, equipamientos de entrenamiento para mayores y zonas estanciales. Se encuentra rodeada de césped, árboles de sombra y de pequeños grupos de macizos arbustivos. Hasta abril de 2018 estos jardines eran conocidos como Jardines de Raimundo Fernández Villaverde. Con el cambio de denominación se ha instalado una placa en homenaje a Andrés Saborit, concejal socialista en el Ayuntamiento de Madrid durante la II República y artífice de grandes logros sociales como la apertura de la Casa de Campo, la ampliación del Metro, la municipalización de servicios y la construcción de unas 200 escuelas infantiles.","Metro: Nuevos Ministerios (líneas 6, 8 y 10) Bus: 5, 68, 149, C1, C2 RENFE: Nuevos Ministerios  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.44613326792272,-3.698969929557834,POINT (4502442.959942039 -412053.7810488821),Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,40.447125,-3.7001669,disponible,9,POINT (4502553.359051885 -412187.3054398999),173.2533591346578
3,Jardines de El Buen Retiro,Principales parques y jardines municipales,INDEPENDENCIA,RETIRO,LOS JERONIMOS,"Jardín Histórico Artístico creado en el siglo XVII. Es la zona verde más importante del centro urbano, tanto por su extensión como por su riqueza vegetal. La diversidad de sus trazados corresponde con las intervenciones realizadas a lo largo de sus diferentes etapas históricas. Destacan el Parterre de estilo francés; el Estanque Grande, las Rías y Lagos artificiales; el Campo Grande de estilo paisajista donde se ubican los Palacios de Velázquez y Cristal; los jardines de Cecilio Rodríguez caracterizado por sus cipreses recortados, setos de boj y pérgolas y la Rosaleda; los jardines de los Planteles formados por cuadros de bosquetes delimitados por setos y el Bosque del Recuerdo. Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.  Limitación de acceso y reordenación de uso de vehículos a motor en los Jardines del Buen Retiro, Decreto 619 de 20 de diciembre de 2007.   Otras denominaciones: Parque del Retiro. El Retiro","Metro: Retiro (línea 2), Príncipe de Vergara (líneas 2 y 9), Ibiza (línea 9), Atocha (línea 1), Atocha. Renfe (línea 1) Autobuses: 1, 2, 9, 14, 15, 19, 20, 26, 28, 32, 51, 52, 61, 63, 74, 146, 152, 202, C  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41964087412762,-3.68793370943788,POINT (4499493.840154874 -410822.6776250893),Plaza de la Independencia,Plaza de la Independencia nº 6,40.419752,-3.688398,disponible,19,POINT (4499506.210630401 -410874.469478817),53.2487068135424
4,Jardines de Gloria Fuertes,Principales parques y jardines municipales,MADRE DE DIOS,CHAMARTIN,NUEVA ESPAÑA,"Jardín dedicado a la poetisa y escritora de cuentos infantiles Gloria Fuertes, que fue vecina del barrio. Limitado por franjas de césped con pinos, cedros y plátanos que rodean una zona de juegos.","Metro: línea 9 (Colombia) Bus: 16,29,150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.461517637696026,-3.675117900731762,POINT (4504155.540151379 -409393.078164072),Pío XII,Avenida Pío XII nº 3,40.46041,-3.67712,disponible,11,POINT (4504032.238487074 -409616.4103570179),255.10893521474924
5,Jardines de José Luis Jiménez Manso,Principales parques y jardines municipales,CAMINO DE LOS VINATEROS,MORATALAZ,MEDIA LEGUA,"Parque emblemático de la zona al ser uno de los más antiguos del distrito de Moratalaz. Se compone de arbolado maduro y de numerosos parterres de césped, aunque recientemente se ha plantado arbolado nuevo.","Metro: Estrella (línea 9) Bus: 20, 30, 32  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.410944943237865,-3.660501733743551,POINT (4498525.813556252 -407762.6743641385),Camino Vinateros,Calle Camino de los Vinateros nº 28,40.41053,-3.65779,disponible,3,POINT (4498479.622286306 -407460.1888912669),305.9919847276302
6,Jardines de Perón,Principales parques y jardines municipales,GENERAL PERON,TETUAN,CUATRO CAMINOS,Jardines situados en la avenida General Perón entre las calles Orense y Reina Mercedes con grandes superficies de pradera y arbustos. Tiene zonas estanciales e infantiles y un área canina.,"Metro: Santiago Bernabéu (línea 10) Bus: 3, 5, 43, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45257591499544,-3.6957817548357257,POINT (4503160.152133536 -411698.1348104622),Orense 36,Calle Orense nº 36,40.4548456,-3.6946218,disponible,11,POINT (4503412.812312503 -411568.7402199105),283.86638776027473
7,Jardines de Sabatini,Principales parques y jardines municipales,BAILEN,CENTRO,PALACIO,"Los Jardines de Sabatini se encuentran situados frente a la fachada norte del Palacio Real, entre la calle de Bailén y la Cuesta de San Vicente, en una terraza colgada sobre el Campo del Moro. Se trata de un jardín de estilo neoclásico acorde con el palacio.    El jardín se divide en tres terrazas: la inferior, marcada por la simetría de los parterres a ambos lados de una gran lámina de agua a modo de espejo con dos surtidores, y enmarcada por cuatro cuadros con sendas fuentes rodeadas por figuras de seto; la segunda, que forma un impresionante balcón sobre la primera, en donde se domina la totalidad de la fachada norte del Palacio y que bajo un bosque de pinos se extiende hacia la Cuesta de San Vicente, en donde se encuentra una nueva escalera de doble entrada que salva el desnivel hasta la calle; y la tercera, en una altura superior y al este de la segunda terraza, con un juego de parterres y grandes cedros.  Este parque se incluye entre las visitas recomendadas a turistas que visitan la ciudad, según la web oficial de turismo de Madrid.","Metro: Opera   Bus: 2, 146   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41991128710114,-3.713185308888602,POINT (4499523.94238939 -413639.5460449198),San Quintín,Calle Pavía nº 6,40.4192095,-3.711504,disponible,6,POINT (4499445.819806646 -413451.9900451842),203.1757637401012
8,Jardines de San Fernando,Principales parques y jardines municipales,ALBERTO ALCOCER,CHAMARTIN,NUEVA ESPAÑA,"Jardines ubicados alrededor de la Parroquia de San Fernando, delimitados por la avenida de Alberto Alcocer, las calles Doctor Fleming, Juan Hurtado de Mendoza y Juan Ramón Jiménez. Dispone de superficies de césped, macizos arbustivos, dos zonas infantiles y zonas estanciales. Destacan los ejemplares de ciprés de gran valor ornamental. En el parque hay un monumento dedicado a la Infancia.","Metro: Cuzco (línea 10) Bús: 5, 11, 40, 140, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45978849094378,-3.687352342212426,POINT (4503963.052415413 -410757.8258468074),Castellana 164,Paseo de la Castellana nº 164,40.4591366,-3.6894151,disponible,19,POINT (4503890.484247498 -410987.9276074668),241.27361905734207
9,Jardines de la Avenida de Brasil,Principales parques y jardines municipales,BRASIL,TETUAN,CASTILLEJOS,"Son pequeñas zonas ajardinadas que se ubican a lo largo de la Avenida de Brasil.  Estos jardines están compuestos por grandes superficies de pradera y arbolado de sombra. Están dotados de zonas estanciales, áreas infantiles, zonas caninas y espacios peatonales con pérgolas. Dentro de estos jardines se encuentran los Jardines de la Organización Mundial del Turismo con una placa informativa y una fuente ornamental.","Bus: 5, 126, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45870695300224,-3.6934625569379382,POINT (4503842.656162486 -411439.4251977102),Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,40.4592351,-3.691533,disponible,13,POINT (4503901.449217341 -411224.1810679014),223.12924218094753
10,Jardines de la Basílica,Principales parques y jardines municipales,BASILICA,TETUAN,CUATRO CAMINOS,Situados frente a la Basílica Hispanoamericana de la Merced y junto al colegio Patrocinio de San José. Zona principalmente pavimentada aunque tiene también gran superficie de pradera; se caracteriza por sus amplias zonas estacionales.,"Metro: Nuevos Ministerios (líneas 6, 8 y 10) RENFE: Nuevos Ministerios Bus: 5 , 69 y 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.44903638127448,-3.695615530710886,POINT (4502766.133042073 -411679.5922655661),Orense 12,Calle Orense nº 12,40.4489101,-3.6952943,disponible,13,POINT (4502752.0754749 -411643.7585185199),38.49250085651283
11,Jardines de la Plaza Conde del Valle de Suchil,Principales parques y jardines municipales,RODRIGUEZ SAN PEDRO,CHAMBERI,ARAPILES,"Plaza rectangular pavimentada con macizos de arbustos y dotada con dos áreas infantiles, área canina y fuente ornamental.","Metro: San Bernardo (líneas 2 y 4) Bus: 16, 21, 61  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43137597367309,-3.7064685006782208,POINT (4500800.185460684 -412890.2642814472),Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,40.4302937,-3.7069171,disponible,4,POINT (4500679.707306497 -412940.3068148255),130.45781227370014
12,Jardines de la Plaza de Chamberí,Principales parques y jardines municipales,CHAMBERI,CHAMBERI,ALMAGRO,"Plaza pavimentada situada junto a la Junta del Distrito en la que podemos encontrar área infantil, fuente ornamental y kiosco.","Metro: Iglesia (línea 1) Bus: 3, 40 y 147  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43285328749453,-3.697594475998512,POINT (4500964.639283028 -411900.3467401638),Manuel Silvela,Calle Manuel Silvela nº 20,40.4309524,-3.6993465,disponible,10,POINT (4500753.033455082 -412095.7881978624),288.052755251798
13,Jardines de la Plaza de Olavide,Principales parques y jardines municipales,OLAVIDE,CHAMBERI,TRAFALGAR,"Plaza circular pavimentada situada entre bloques, dotada de área infantil y aparatos de entrenamiento de mayores.","Metro: Bilbao (línea 1, 4) Bus: 3, 16, 37, 40, 61, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43247362678542,-3.700785562182429,POINT (4500922.375646216 -412256.3184855719),Manuel Silvela,Calle Manuel Silvela nº 20,40.4309524,-3.6993465,disponible,10,POINT (4500753.033455082 -412095.7881978624),233.33827583583053
